Id,Label,Kingdom,Phylum,Class,Order,Family,Genus,FC,PD_sig
g__Lachnospiraceae_UCG-004,g__Lachnospiraceae_UCG-004,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_UCG-004,0.379879652190324,Yes_Decreased
f__Corynebacteriaceae_unclass,f__Corynebacteriaceae_unclass,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,NA,0.897931872933278,No
g__Sellimonas,g__Sellimonas,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Sellimonas,1.67915845745336,No
g__Coprobacter,g__Coprobacter,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Coprobacter,2.1010649399133,No
g__Anaerococcus,g__Anaerococcus,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus,2.55856042259725,No
g__CAG-352,g__CAG-352,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,CAG-352,0.888196364457216,No
g__CAG-873,g__CAG-873,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-873,2.22059814090302,No
g__Providencia,g__Providencia,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Providencia,5.39514336917827,No
g__Prevotellaceae_UCG-001,g__Prevotellaceae_UCG-001,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_UCG-001,0.258503613953625,No
g__Anaerotruncus,g__Anaerotruncus,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerotruncus,1.68873979462041,No
g__Fournierella,g__Fournierella,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fournierella,0.921678948865226,No
g__Turicibacter,g__Turicibacter,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,2.10594082588787,No
g__Murdochiella,g__Murdochiella,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Murdochiella,2.25472054858674,No
g__Lachnospiraceae_UCG-001,g__Lachnospiraceae_UCG-001,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_UCG-001,0.389673731410092,No
g__Flavobacterium,g__Flavobacterium,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,18105.7263159681,No
g__Campylobacter,g__Campylobacter,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,4.09319822251882,No
g__Oscillospira,g__Oscillospira,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillospira,0.639417096866026,Yes_Decreased
g__Weissella,g__Weissella,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,1.32224177332345,No
g__Varibaculum,g__Varibaculum,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,1.79050691019293,No
g__Adlercreutzia,g__Adlercreutzia,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Adlercreutzia,1.25158622337278,No
g__CAG-56,g__CAG-56,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,CAG-56,0.903004384388602,No
g__DTU089,g__DTU089,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,DTU089,0.780363799451134,No
g__S5-A14a,g__S5-A14a,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XIII,S5-A14a,2.69105374836742,No
f__Family_XIII_unclass,f__Family_XIII_unclass,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XIII,NA,1.52159787385199,No
o__Izimaplasmatales_unclass,o__Izimaplasmatales_unclass,Bacteria,Tenericutes,Mollicutes,Izimaplasmatales,NA,NA,0.769861062878933,No
f__Sphingomonadaceae_unclass,f__Sphingomonadaceae_unclass,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,172.9490624068,No
g__Pyramidobacter,g__Pyramidobacter,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Pyramidobacter,1.56248117879786,No
g__Lysinibacillus,g__Lysinibacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,0.0794480729270298,No
g__Prevotellaceae_NK3B31_group,g__Prevotellaceae_NK3B31_group,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_NK3B31_group,0.479277685800322,No
g__Mobiluncus,g__Mobiluncus,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Mobiluncus,1.71572082294784,No
f__Saccharimonadaceae_unclass,f__Saccharimonadaceae_unclass,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,NA,1.43787189484077,No
g__Actinomyces,g__Actinomyces,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,1.44813351628075,No
g__Lawsonella,g__Lawsonella,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Lawsonella,4.43451965831544,No
g__Tyzzerella_3,g__Tyzzerella_3,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Tyzzerella_3,0.403197566121741,No
g__Prevotella_2,g__Prevotella_2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_2,0.445129353436896,No
g__UC5-1-2E3,g__UC5-1-2E3,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,UC5-1-2E3,0.785541015050413,No
f__Methanomethylophilaceae_unclass,f__Methanomethylophilaceae_unclass,Archaea,Euryarchaeota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,NA,2.57592118050908,No
g__Sphingobacterium,g__Sphingobacterium,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,7835.25153801677,No
g__Haemophilus,g__Haemophilus,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,0.732294948437471,No
f__Muribaculaceae_unclass,f__Muribaculaceae_unclass,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,NA,0.535434333752063,No
g__Brevundimonas,g__Brevundimonas,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,60.0381160855431,No
g__Anaeroglobus,g__Anaeroglobus,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Anaeroglobus,1.33335233101283,No
g__Lactococcus,g__Lactococcus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,1.54100606102146,No
g__Succinivibrio,g__Succinivibrio,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Inf,No
o__Bacteroidales_unclass,o__Bacteroidales_unclass,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,NA,NA,0.845567557147897,No
p__Firmicutes_unclass,p__Firmicutes_unclass,Bacteria,Firmicutes,NA,NA,NA,NA,1.48937914859885,No
g__Microbacterium,g__Microbacterium,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,1.11443564630437,No
g__Synergistes,g__Synergistes,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Synergistes,14.8998896781861,No
g__Sedimentibacter,g__Sedimentibacter,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Sedimentibacter,0.030049112191854,No
g__Oceanobacillus,g__Oceanobacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Oceanobacillus,0.433966488362971,No
g__Fastidiosipila,g__Fastidiosipila,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila,2.57758637369145,No
g__Chryseobacterium,g__Chryseobacterium,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,1315.30288543678,No
g__Terrisporobacter,g__Terrisporobacter,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Terrisporobacter,2.53827937604088,No
g__Ruminococcaceae_UCG-010,g__Ruminococcaceae_UCG-010,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-010,1.05405452405589,No
g__Victivallis,g__Victivallis,Bacteria,Lentisphaerae,Lentisphaeria,Victivallales,Victivallaceae,Victivallis,11.4271195750951,No
g__Howardella,g__Howardella,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Howardella,1.41737885199073,No
g__Angelakisella,g__Angelakisella,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Angelakisella,1.196765970653,No
g__GCA-900066575,g__GCA-900066575,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,GCA-900066575,0.863210736236981,No
g__Eubacterium,g__Eubacterium,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,2.18779567886778,No
f__Clostridiales_vadinBB60_group_unclass,f__Clostridiales_vadinBB60_group_unclass,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_vadinBB60_group,NA,1.19920439363592,No
f__Bacillaceae_unclass,f__Bacillaceae_unclass,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,NA,0.113220042816009,No
g__Oligella,g__Oligella,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Oligella,0.422574778833085,No
g__Gardnerella,g__Gardnerella,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,1.8638761534996,No
g__Erysipelotrichaceae_UCG-003,g__Erysipelotrichaceae_UCG-003,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelotrichaceae_UCG-003,0.57814908916783,No
g__Fusobacterium,g__Fusobacterium,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,1.96515486605347,No
g__Edwardsiella,g__Edwardsiella,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Edwardsiella,0,No
g__Peptoclostridium,g__Peptoclostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptoclostridium,0.236763940856483,No
f__Coriobacteriales_Incertae_Sedis_unclass,f__Coriobacteriales_Incertae_Sedis_unclass,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriales_Incertae_Sedis,NA,0.959478371096723,No
g__Pseudogracilibacillus,g__Pseudogracilibacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Pseudogracilibacillus,0.00677436031570141,No
g__Alloprevotella,g__Alloprevotella,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,2.71466921741212,No
g__Nocardiopsis,g__Nocardiopsis,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,Inf,No
g__Marvinbryantia,g__Marvinbryantia,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Marvinbryantia,2.14015615930615,No
g__Enorma,g__Enorma,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Enorma,7.64448264430046,No
g__Dysgonomonas,g__Dysgonomonas,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,37.7114407313912,No
f__Peptococcaceae_unclass,f__Peptococcaceae_unclass,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,NA,1.20143587447904,No
g__GCA-900066225,g__GCA-900066225,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,GCA-900066225,1.39612433224938,No
g__Hydrogenoanaerobacterium,g__Hydrogenoanaerobacterium,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Hydrogenoanaerobacterium,2.33837393875562,No
